-2.000000000000000000e+01 -4.173623635095754207e-40 6.776117847064753156e-40 -5.572865028381303650e-39 -6.427298049219584828e-39 6.291510285477875741e-38 8.932101821204004647e-39 -3.488337315745960490e-37 -1.571490132224176550e-37 1.394143322027938831e-36 -1.387663454262793255e-36
-1.997997997997997999e+01 -8.820055070332658250e-40 1.431984657573589539e-39 -1.177289141870220418e-38 -1.357792124691492758e-38 1.328644806600330116e-37 1.886286678487147428e-38 -7.364171799363675334e-37 -3.317547085615940952e-37 2.942164230378779400e-36 -2.928489284460597447e-36
-1.995995995995995997e+01 -1.446122319127945257e-39 2.347854326936030820e-39 -1.929189321029638012e-38 -2.224976092606674987e-38 2.176019790906876236e-37 3.089311582089013010e-38 -1.205433711577781080e-36 -5.430458700384029617e-37 4.813442968450397575e-36 -4.791070468408288221e-36
-1.993993993993993996e+01 -2.172608631904158685e-39 3.527333203418474209e-39 -2.896258391736612119e-38 -3.340320685807677023e-38 3.264498238844425053e-37 4.634633395823213280e-38 -1.807142016247426510e-36 -8.141144492403197943e-37 7.211161707454938883e-36 -7.177644803159840932e-36
-1.991991991991991995e+01 -3.141946286994765881e-39 5.101085311195615658e-39 -4.184907998885498610e-38 -4.826552933153067702e-38 4.713049573947193925e-37 6.691154100257588100e-38 -2.606872311771261647e-36 -1.174391595887598442e-36 1.039394594639597660e-35 -1.034563571772792383e-35
-1.989989989989989994e+01 -4.460918464723844745e-39 7.242475172573200077e-39 -5.936133130089250675e-38 -6.846285649169110362e-38 6.679095979186472130e-37 9.482367379032355902e-38 -3.690955820196643317e-36 -1.662769376470325630e-36 1.470311141708906673e-35 -1.463477253656649629e-35
-1.987987987987987992e+01 -6.274079956161288449e-39 1.018618933406495796e-38 -8.340550560888862748e-38 -9.619361915571196046e-38 9.375186266594827067e-37 1.331003065139819249e-37 -5.175805655136386142e-36 -2.331691697943793315e-36 2.059832065498169984e-35 -2.050258132138665140e-35
-1.985985985985985991e+01 -8.779183295092388327e-39 1.425328168384122423e-38 -1.165859606550954736e-37 -1.344614914053769923e-37 1.309135857297360737e-36 1.858591361007125860e-37 -7.220079469416423567e-36 -3.252633559172809187e-36 2.870527646994545493e-35 -2.857185666671095679e-35
-1.983983983983983990e+01 -1.224816248651746195e-38 1.988524173665289671e-38 -1.624796185005490356e-37 -1.873918353417873971e-37 1.822547993951936480e-36 2.587487164750922807e-37 -1.004115927745586635e-35 -4.523525182825630174e-36 3.988026201077704809e-35 -3.969490178738607460e-35
-1.981981981981981988e+01 -1.705583872788840043e-38 2.769059947863368688e-38 -2.260108363598033720e-37 -2.606640475795386663e-37 2.532464591745357410e-36 3.595362124893399843e-37 -1.393761087553144555e-35 -6.278869945589036272e-36 5.529799078414130890e-35 -5.504097021787991022e-35
-1.979979979979979987e+01 -2.371929188954863609e-38 3.850884571140529358e-38 -3.139649228569717334e-37 -3.621038113244383969e-37 3.514182249880913548e-36 4.989115505955658592e-37 -1.931987501891465131e-35 -8.703570701258566553e-36 7.657151154241774910e-35 -7.621561339180790453e-35
-1.977977977977977986e+01 -3.295191396633366309e-38 5.349818837091920982e-38 -4.356922794111234474e-37 -5.024952103366561054e-37 4.871342164340287491e-36 6.915887654703927643e-37 -2.675225120935580233e-35 -1.205184340427969820e-35 1.059160382017483152e-34 -1.054237490920188104e-34
-1.975975975975975985e+01 -4.573763054379854659e-38 7.425605196804232653e-38 -6.040741060278284986e-37 -6.966945055482484823e-37 6.746556496085501927e-36 9.578146351157107127e-37 -3.701033945025476179e-35 -1.667309452215055287e-35 1.463728385155218060e-34 -1.456925095080451266e-34
-1.973973973973973983e+01 -6.343278614511201333e-38 1.029844905928178068e-37 -8.368464563581231233e-37 -9.651571983098688714e-37 9.335960459118638965e-36 1.325434653945690828e-36 -5.115961015788065199e-35 -2.304731664577913849e-35 2.021151173401582669e-34 -2.011757027813701555e-34
-1.971971971971971982e+01 -8.790593296396997022e-38 1.427171384252853695e-37 -1.158414679577201262e-36 -1.336030670672696112e-36 1.290913031999455103e-35 1.832720809150889592e-36 -7.066281931598698665e-35 -3.183347883114671027e-35 2.788657131035362102e-34 -2.775695680548331862e-34
-1.969969969969969981e+01 -1.217295038800223294e-37 1.976303951152619334e-37 -1.602338315559824239e-36 -1.848020080432195431e-36 1.783632885548066520e-35 2.532239642751363467e-36 -9.752676678459113540e-35 -4.393564096411687303e-35 3.844671224241561231e-34 -3.826801506641987319e-34
-1.967967967967967979e+01 -1.684424471955525572e-37 2.734698192418385364e-37 -2.214731848426976554e-36 -2.554310543203161985e-36 2.462574825602334788e-35 3.496139659988828254e-36 -1.345026697650324281e-34 -6.059322166123980785e-35 5.296588672052479269e-34 -5.271970560938243278e-34
-1.965965965965965978e+01 -2.329098372195506520e-37 3.781339628958487296e-37 -3.058915535551645066e-36 -3.527931064451921241e-36 3.397438226751852093e-35 4.823373693339012698e-36 -1.853595409740875855e-34 -8.350415466689951117e-35 7.291368553576380543e-34 -7.257478868774835531e-34
-1.963963963963963977e+01 -3.218149079788460753e-37 5.224731993367801161e-37 -4.221771158054631838e-36 -4.869084807434254778e-36 4.683746406447909966e-35 6.649557060228524445e-36 -2.552568945066557501e-34 -1.149927922045833848e-34 1.002995958490516703e-33 -9.983341153056517773e-34
-1.961961961961961975e+01 -4.443317758227355323e-37 7.213819023500844225e-37 -5.822421242463416081e-36 -6.715159088799837788e-36 6.452317476299126961e-35 9.160413416207734762e-36 -3.512524884233009597e-34 -1.582386421392168164e-34 1.378692957710717040e-33 -1.372284905613103443e-33
